id,corpus,claim,role_swap,event_sub,order_break,metaphor,source_jump,new_rule,rule,family,fanout_bits_lb,source_selector_bits_lb,selector_lb
H01,Hamlet,ghost father apparition = John/Lazarus resurrection,1,1,0,0,1,0,R6,R6,1.584962500721156,1.0,2.584962500721156
H02,Hamlet,ghost transmits secret = baptism by John,0,1,0,1,0,1,NEW,N1,3.0,0.0,3.0
H03,Hamlet,Ophelia sent to test Hamlet = woman sent to test Christ,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
H04,Hamlet,feigned madness = accusations of Christ's madness,0,1,0,0,0,0,R1,R1,2.0,0.0,2.0
H05,Hamlet,Gertrude sexual impurity = accusations against Mary,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
H06,Hamlet,wooden hooks = Jesus the carpenter,0,1,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
H07,Hamlet,rewritten death letter = Caesarean birth,0,1,0,1,2,1,NEW,N2,4.0,2.0,6.0
H08,Hamlet,Rosencrantz and Guildenstern = Judas,1,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
H09,Hamlet,gold-filled staff = Judas's thirty silver pieces,0,1,0,1,0,1,NEW,N3,3.0,0.0,3.0
H10,Hamlet,Saxo feast = Last Supper,0,1,0,0,0,0,R3,R3,1.0,0.0,1.0
H11,Hamlet,Hamlet gets nobles drunk = Cana,0,1,0,0,0,0,R4,R4,2.0,0.0,2.0
H12,Hamlet,presumed death and return = Resurrection,0,1,0,0,0,0,R6,R6,1.584962500721156,0.0,1.584962500721156
H13,Hamlet,Hamlet wounds/nail episode = Crucifixion,0,1,0,1,0,1,NEW,N4,4.0,0.0,4.0
H14,Hamlet,Hamlet kills Claudius = Christ/Apollo kills Herod/Python,1,1,0,0,1,1,NEW,N5,4.0,1.0,5.0
H15,Hamlet,bonfire = Golgotha,0,1,0,1,0,1,NEW,N6,4.0,0.0,4.0
H16,Hamlet,Laertes = Judas,1,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
H17,Hamlet,Hamlet's duel/poison death = Crucifixion,0,1,0,0,0,0,R5,R5,2.0,0.0,2.0
H18,Hamlet,Yorick skull = Adam's skull under Golgotha,0,0,0,1,0,1,NEW,N7,4.0,0.0,4.0
H19,Hamlet,jump into Ophelia's grave and emerge = Resurrection,0,1,0,1,0,0,R6,R6,1.584962500721156,0.0,1.584962500721156
H20,Hamlet,Polonius = Pontius Pilate,1,1,0,1,0,1,NEW,N8,4.0,0.0,4.0
H21,Hamlet,arras/curtain = Shroud/Veronica cloth,0,1,0,1,0,1,NEW,N7,4.0,0.0,4.0
H22,Hamlet,travelling actors = apostles,1,0,0,0,0,0,R2,R2,2.0,0.0,2.0
F01,Faust,students = apostles,1,0,0,0,0,0,R2,R2,2.0,0.0,2.0
F02,Faust,hatred/accusations against Faust = hatred of Christ,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
F03,Faust,magic wonders = miracles of Christ,0,1,0,0,0,0,R4,R4,2.0,0.0,2.0
F04,Faust,pigs/swine episode = Gospel swine,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
F05,Faust,Faust revives Maria = Christ raises Lazarus,1,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
F06,Faust,final supper with students = Last Supper,0,0,0,0,0,0,R3,R3,1.0,0.0,1.0
F07,Faust,farewell speech to students = Jesus farewell discourse,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
F08,Faust,violent death by devil = Passion/execution of Christ,0,1,0,0,0,0,R5,R5,2.0,0.0,2.0
F09,Faust,many witnesses around death = crowd at Crucifixion,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
F10,Faust,house shaking/storm at death = earthquake at Crucifixion,0,0,0,0,0,0,DIRECT,DIRECT,0.0,0.0,0.0
F11,Faust,twisted/hanging head = crucified Christ,0,1,0,1,0,1,NEW,N4,4.0,0.0,4.0
F12,Faust,tower of Faust = Mount Golgotha,0,1,0,1,0,1,NEW,N6,4.0,0.0,4.0
F13,Faust,hollow tree trunk = cross/tree of Crucifixion,0,1,0,1,0,1,NEW,N6,4.0,0.0,4.0
F14,Faust,Faust visits relic of Longinus spear = Faust was pierced by spear,0,1,0,1,0,1,NEW,N9,4.0,0.0,4.0
