text,class,score_27,strong_anchors_ge2
Apollonius,NH_positive,10,4
Pythagoras,NH_positive,7,3
Heracles,NH_positive,5,2
Arthur,NH_positive,9,4
Wotan,NH_positive,3,1
Gregory_VII,NH_positive,1,0
Socrates,secular_control,6,2
Alexander,secular_control,3,0
Theseus,secular_control,3,1
Achilles,secular_control,3,0
Beowulf,secular_control,3,1
Siegfried,secular_control,6,2
Macbeth,secular_control,4,1
Robin_Hood,secular_control,7,3
Odysseus,secular_control,6,1
Francis_of_Assisi,christian_control,12,4
Martin_of_Tours,christian_control,13,4
Anthony_the_Great,christian_control,8,3
Everyman,christian_control,2,0
Castle_of_Perseverance,christian_control,3,1
